individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
S29	S30-B	50												
S29	S30-C	50												
S29	S31	100												
S29	S31-B	100												
S29	S31-C	100												
S29	S32	200												
S29	S33	250												
S29	S34	300												
S29	S34-B	300												
S29	S34-D	300												
S29	S35	350												
S29	S35-B	350												
S29	S35-C	350												
S30	S30-B	1												
S30	S30-C	1												
S30	S31	50												
S30	S31-B	50												
S30	S31-C	50												
S30	S32	150												
S30	S33	200												
S30	S34	250												
S30	S34-B	250												
S30	S34-D	250												
S30	S35	300												
S30	S35-B	300												
S30	S35-C	300												
S30-B	S30-C	1												
S30-B	S31	50												
S30-B	S31-B	50												
S30-B	S31-C	50												
S30-B	S32	150												
S30-B	S33	200												
S30-B	S34	250												
S30-B	S34-B	250												
S30-B	S34-D	250												
S30-B	S35	300												
S30-B	S35-B	300												
S30-B	S35-C	300												
S30-C	S31	50												
S30-C	S31-B	50												
S30-C	S31-C	50												
S30-C	S32	150												
S30-C	S33	200												
S30-C	S34	250												
S30-C	S34-B	250												
S30-C	S34-D	250												
S30-C	S35	300												
S30-C	S35-B	300												
S30-C	S35-C	300												
S31	S31-B	1												
S31	S31-C	1												
S31	S32	100												
S31	S33	150												
S31	S34	200												
S31	S34-B	200												
S31	S34-D	200												
S31	S35	250												
S31	S35-B	250												
S31	S35-C	250												
S31-B	S31-C	1												
S31-B	S32	100												
S31-B	S33	150												
S31-B	S34	200												
S31-B	S34-B	200												
S31-B	S34-D	200												
S31-B	S35	250												
S31-B	S35-B	250												
S31-B	S35-C	250												
S31-C	S32	100												
S31-C	S33	150												
S31-C	S34	200												
S31-C	S34-B	200												
S31-C	S34-D	200												
S31-C	S35	250												
S31-C	S35-B	250												
S31-C	S35-C	250												
S32	S33	50												
S32	S34	100												
S32	S34-B	100												
S32	S34-D	100												
S32	S35	150												
S32	S35-B	150												
S32	S35-C	150												
S33	S34	50												
S33	S34-B	50												
S33	S34-D	50												
S33	S35	100												
S33	S35-B	100												
S33	S35-C	100												
S34	S34-B	1												
S34	S34-D	1												
S34	S35	50												
S34	S35-B	50												
S34	S35-C	50												
S34-B	S34-D	1												
S34-B	S35	50												
S34-B	S35-B	50												
S34-B	S35-C	50												
S34-D	S35	50												
S34-D	S35-B	50												
S34-D	S35-C	50												
S35	S35-B	1												
S35	S35-C	1												
S35-B	S35-C	1												
S37	S38	50												
S37	S39	90												
S37	S40	140												
S37	S41	190												
S37	S42	240												
S38	S39	40												
S38	S40	90												
S38	S41	140												
S38	S42	190												
S39	S40	50												
S39	S41	100												
S39	S42	150												
S40	S41	50												
S40	S42	100												
S41	S42	50												
S44	S45	60												
S44	S46	120												
S44	S47	160												
S44	S49	340												
S45	S46	60												
S45	S47	100												
S45	S49	280												
S46	S47	40												
S46	S49	220												
S47	S49	180												
S50	S51	80												
S50	S52	120												
S50	S53	240												
S51	S52	40												
S51	S53	160												
S52	S53	120												
S54	S55	50												
S54	S56	140												
S54	S57	230												
S54	S58	280												
S54	S59	370												
S55	S56	90												
S55	S57	180												
S55	S58	230												
S55	S59	320												
S56	S57	90												
S56	S58	140												
S56	S59	230												
S57	S58	50												
S57	S59	140												
S58	S59	90												
S63	S64	45												
S63	S65	155												
S63	S66	205												
S63	S67	265												
S63	S67-B	265												
S63	S67-C	265												
S63	S68	395												
S63	S68-B	395												
S63	S68-C	395												
S63	S69	445												
S63	S70	495												
S63	S71	545												
S64	S65	110												
S64	S66	160												
S64	S67	220												
S64	S67-B	220												
S64	S67-C	220												
S64	S68	350												
S64	S68-B	350												
S64	S68-C	350												
S64	S69	400												
S64	S70	450												
S64	S71	500												
S65	S66	50												
S65	S67	110												
S65	S67-B	110												
S65	S67-C	110												
S65	S68	240												
S65	S68-B	240												
S65	S68-C	240												
S65	S69	290												
S65	S70	340												
S65	S71	390												
S66	S67	60												
S66	S67-B	60												
S66	S67-C	60												
S66	S68	190												
S66	S68-B	190												
S66	S68-C	190												
S66	S69	240												
S66	S70	290												
S66	S71	340												
S67	S67-B	1												
S67	S67-C	1												
S67	S68	130												
S67	S68-B	130												
S67	S68-C	130												
S67	S69	180												
S67	S70	230												
S67	S71	280												
S67-B	S67-C	1												
S67-B	S68	130												
S67-B	S68-B	130												
S67-B	S68-C	130												
S67-B	S69	180												
S67-B	S70	230												
S67-B	S71	280												
S67-C	S68	130												
S67-C	S68-B	130												
S67-C	S68-C	130												
S67-C	S69	180												
S67-C	S70	230												
S67-C	S71	280												
S68	S68-B	1												
S68	S68-C	1												
S68	S69	50												
S68	S70	100												
S68	S71	150												
S68-B	S68-C	1												
S68-B	S69	50												
S68-B	S70	100												
S68-B	S71	150												
S68-C	S69	50												
S68-C	S70	100												
S68-C	S71	150												
S69	S70	50												
S69	S71	100												
S70	S71	50												
S1	S13	1000												
S1	S14	1000												
S1	S16	1000												
S1	S17	1000												
S1	S18	1000												
S1	S19	1000												
S1	S20	1000												
S1	S21	1000												
S1	S22	1000												
S1	S23	1000												
S1	S28	17500												
S1	S29	17500												
S1	S30	17500												
S1	S30-B	17500												
S1	S30-C	17500												
S1	S31	17500												
S1	S31-B	17500												
S1	S31-C	17500												
S1	S32	17500												
S1	S33	17500												
S1	S34	17500												
S1	S34-B	17500												
S1	S34-D	17500												
S1	S35	17500												
S1	S35-B	17500												
S1	S35-C	17500												
S1	S37	15300												
S1	S38	15300												
S1	S39	15300												
S1	S40	15300												
S1	S41	15300												
S1	S42	15300												
S1	S44	24400												
S1	S45	24400												
S1	S46	24400												
S1	S47	24400												
S1	S49	24400												
S1	S50	30600												
S1	S51	30600												
S1	S52	30600												
S1	S53	30600												
S1	S54	33000												
S1	S55	33000												
S1	S56	33000												
S1	S57	33000												
S1	S58	33000												
S1	S59	33000												
S1	S63	34200												
S1	S64	34200												
S1	S65	34200												
S1	S66	34200												
S1	S67	34200												
S1	S67-B	34200												
S1	S67-C	34200												
S1	S68	34200												
S1	S68-B	34200												
S1	S68-C	34200												
S1	S69	34200												
S1	S70	34200												
S1	S71	34200												
S2	S13	1000												
S2	S14	1000												
S2	S16	1000												
S2	S17	1000												
S2	S18	1000												
S2	S19	1000												
S2	S20	1000												
S2	S21	1000												
S2	S22	1000												
S2	S23	1000												
S2	S28	17500												
S2	S29	17500												
S2	S30	17500												
S2	S30-B	17500												
S2	S30-C	17500												
S2	S31	17500												
S2	S31-B	17500												
S2	S31-C	17500												
S2	S32	17500												
S2	S33	17500												
S2	S34	17500												
S2	S34-B	17500												
S2	S34-D	17500												
S2	S35	17500												
S2	S35-B	17500												
S2	S35-C	17500												
S2	S37	15300												
S2	S38	15300												
S2	S39	15300												
S2	S40	15300												
S2	S41	15300												
S2	S42	15300												
S2	S44	24400												
S2	S45	24400												
S2	S46	24400												
S2	S47	24400												
S2	S49	24400												
S2	S50	30600												
S2	S51	30600												
S2	S52	30600												
S2	S53	30600												
S2	S54	33000												
S2	S55	33000												
S2	S56	33000												
S2	S57	33000												
S2	S58	33000												
S2	S59	33000												
S2	S63	34200												
S2	S64	34200												
S2	S65	34200												
S2	S66	34200												
S2	S67	34200												
S2	S67-B	34200												
S2	S67-C	34200												
S2	S68	34200												
S2	S68-B	34200												
S2	S68-C	34200												
S2	S69	34200												
S2	S70	34200												
S2	S71	34200												
S3	S13	1000												
S3	S14	1000												
S3	S16	1000												
S3	S17	1000												
S3	S18	1000												
S3	S19	1000												
S3	S20	1000												
S3	S21	1000												
S3	S22	1000												
S3	S23	1000												
S3	S28	17500												
S3	S29	17500												
S3	S30	17500												
S3	S30-B	17500												
S3	S30-C	17500												
S3	S31	17500												
S3	S31-B	17500												
S3	S31-C	17500												
S3	S32	17500												
S3	S33	17500												
S3	S34	17500												
S3	S34-B	17500												
S3	S34-D	17500												
S3	S35	17500												
S3	S35-B	17500												
S3	S35-C	17500												
S3	S37	15300												
S3	S38	15300												
S3	S39	15300												
S3	S40	15300												
S3	S41	15300												
S3	S42	15300												
S3	S44	24400												
S3	S45	24400												
S3	S46	24400												
S3	S47	24400												
S3	S49	24400												
S3	S50	30600												
S3	S51	30600												
S3	S52	30600												
S3	S53	30600												
S3	S54	33000												
S3	S55	33000												
S3	S56	33000												
S3	S57	33000												
S3	S58	33000												
S3	S59	33000												
S3	S63	34200												
S3	S64	34200												
S3	S65	34200												
S3	S66	34200												
S3	S67	34200												
S3	S67-B	34200												
S3	S67-C	34200												
S3	S68	34200												
S3	S68-B	34200												
S3	S68-C	34200												
S3	S69	34200												
S3	S70	34200												
S3	S71	34200												
S3-B	S13	1000												
S3-B	S14	1000												
S3-B	S16	1000												
S3-B	S17	1000												
S3-B	S18	1000												
S3-B	S19	1000												
S3-B	S20	1000												
S3-B	S21	1000												
S3-B	S22	1000												
S3-B	S23	1000												
S3-B	S28	17500												
S3-B	S29	17500												
S3-B	S30	17500												
S3-B	S30-B	17500												
S3-B	S30-C	17500												
S3-B	S31	17500												
S3-B	S31-B	17500												
S3-B	S31-C	17500												
S3-B	S32	17500												
S3-B	S33	17500												
S3-B	S34	17500												
S3-B	S34-B	17500												
S3-B	S34-D	17500												
S3-B	S35	17500												
S3-B	S35-B	17500												
S3-B	S35-C	17500												
S3-B	S37	15300												
S3-B	S38	15300												
S3-B	S39	15300												
S3-B	S40	15300												
S3-B	S41	15300												
S3-B	S42	15300												
S3-B	S44	24400												
S3-B	S45	24400												
S3-B	S46	24400												
S3-B	S47	24400												
S3-B	S49	24400												
S3-B	S50	30600												
S3-B	S51	30600												
S3-B	S52	30600												
S3-B	S53	30600												
S3-B	S54	33000												
S3-B	S55	33000												
S3-B	S56	33000												
S3-B	S57	33000												
S3-B	S58	33000												
S3-B	S59	33000												
S3-B	S63	34200												
S3-B	S64	34200												
S3-B	S65	34200												
S3-B	S66	34200												
S3-B	S67	34200												
S3-B	S67-B	34200												
S3-B	S67-C	34200												
S3-B	S68	34200												
S3-B	S68-B	34200												
S3-B	S68-C	34200												
S3-B	S69	34200												
S3-B	S70	34200												
S3-B	S71	34200												
S3-C	S13	1000												
S3-C	S14	1000												
S3-C	S16	1000												
S3-C	S17	1000												
S3-C	S18	1000												
S3-C	S19	1000												
S3-C	S20	1000												
S3-C	S21	1000												
S3-C	S22	1000												
S3-C	S23	1000												
S3-C	S28	17500												
S3-C	S29	17500												
S3-C	S30	17500												
S3-C	S30-B	17500												
S3-C	S30-C	17500												
S3-C	S31	17500												
S3-C	S31-B	17500												
S3-C	S31-C	17500												
S3-C	S32	17500												
S3-C	S33	17500												
S3-C	S34	17500												
S3-C	S34-B	17500												
S3-C	S34-D	17500												
S3-C	S35	17500												
S3-C	S35-B	17500												
S3-C	S35-C	17500												
S3-C	S37	15300												
S3-C	S38	15300												
S3-C	S39	15300												
S3-C	S40	15300												
S3-C	S41	15300												
S3-C	S42	15300												
S3-C	S44	24400												
S3-C	S45	24400												
S3-C	S46	24400												
S3-C	S47	24400												
S3-C	S49	24400												
S3-C	S50	30600												
S3-C	S51	30600												
S3-C	S52	30600												
S3-C	S53	30600												
S3-C	S54	33000												
S3-C	S55	33000												
S3-C	S56	33000												
S3-C	S57	33000												
S3-C	S58	33000												
S3-C	S59	33000												
S3-C	S63	34200												
S3-C	S64	34200												
S3-C	S65	34200												
S3-C	S66	34200												
S3-C	S67	34200												
S3-C	S67-B	34200												
S3-C	S67-C	34200												
S3-C	S68	34200												
S3-C	S68-B	34200												
S3-C	S68-C	34200												
S3-C	S69	34200												
S3-C	S70	34200												
S3-C	S71	34200												
S4	S13	1000												
S4	S14	1000												
S4	S16	1000												
S4	S17	1000												
S4	S18	1000												
