individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
V4	V6	50												
V4	V7	75												
V4	V8	100												
V4	V9	300												
V4	V10	380												
V4	V11	450												
V4	V12	475												
V4	V13	500												
V4	V14	525												
V4	V15	550												
V4	V16	575												
V4	V17	625												
V4	V18	650												
V4	V20	700												
V4	V21	725												
V5	V6	25												
V5	V7	50												
V5	V8	75												
V5	V9	275												
V5	V10	355												
V5	V11	425												
V5	V12	450												
V5	V13	475												
V5	V14	500												
V5	V15	525												
V5	V16	550												
V5	V17	600												
V5	V18	625												
V5	V20	675												
V5	V21	700												
V6	V7	25												
V6	V8	50												
V6	V9	250												
V6	V10	330												
V6	V11	400												
V6	V12	425												
V6	V13	450												
V6	V14	475												
V6	V15	500												
V6	V16	525												
V6	V17	575												
V6	V18	600												
V6	V20	650												
V6	V21	675												
V7	V8	25												
V7	V9	225												
V7	V10	305												
V7	V11	375												
V7	V12	400												
V7	V13	425												
V7	V14	450												
V7	V15	475												
V7	V16	500												
V7	V17	550												
V7	V18	575												
V7	V20	625												
V7	V21	650												
V8	V9	200												
V8	V10	280												
V8	V11	350												
V8	V12	375												
V8	V13	400												
V8	V14	425												
V8	V15	450												
V8	V16	475												
V8	V17	525												
V8	V18	550												
V8	V20	600												
V8	V21	625												
V9	V10	80												
V9	V11	150												
V9	V12	175												
V9	V13	200												
V9	V14	225												
V9	V15	250												
V9	V16	275												
V9	V17	325												
V9	V18	350												
V9	V20	400												
V9	V21	425												
V10	V11	70												
V10	V12	95												
V10	V13	120												
V10	V14	145												
V10	V15	170												
V10	V16	195												
V10	V17	245												
V10	V18	270												
V10	V20	320												
V10	V21	345												
V11	V12	25												
V11	V13	50												
V11	V14	75												
V11	V15	100												
V11	V16	125												
V11	V17	175												
V11	V18	200												
V11	V20	250												
V11	V21	275												
V12	V13	25												
V12	V14	50												
V12	V15	75												
V12	V16	100												
V12	V17	150												
V12	V18	175												
V12	V20	225												
V12	V21	250												
V13	V14	25												
V13	V15	50												
V13	V16	75												
V13	V17	125												
V13	V18	150												
V13	V20	200												
V13	V21	225												
V14	V15	25												
V14	V16	50												
V14	V17	100												
V14	V18	125												
V14	V20	175												
V14	V21	200												
V15	V16	25												
V15	V17	75												
V15	V18	100												
V15	V20	150												
V15	V21	175												
V16	V17	50												
V16	V18	75												
V16	V20	125												
V16	V21	150												
V17	V18	25												
V17	V20	75												
V17	V21	100												
V18	V20	50												
V18	V21	75												
V20	V21	25												
V36	V37	50												
V36	V38	150												
V36	V39	530												
V36	V40	550												
V36	V41	561												
V36	V42	741												
V37	V38	100												
V37	V39	480												
V37	V40	500												
V37	V41	511												
V37	V42	691												
V38	V39	380												
V38	V40	400												
V38	V41	411												
V38	V42	591												
V39	V40	20												
V39	V41	31												
V39	V42	211												
V40	V41	11												
V40	V42	191												
V41	V42	180												
V43	V44	50												
V43	V44-B	50												
V43	V44-C	50												
V43	V45	100												
V43	V45-C	100												
V43	V45-D	100												
V43	V46	150												
V43	V47	200												
V43	V48	250												
V43	V49	350												
V44	V44-B	1												
V44	V44-C	1												
V44	V45	50												
V44	V45-C	50												
V44	V45-D	50												
V44	V46	100												
V44	V47	150												
V44	V48	200												
V44	V49	300												
V44-B	V44-C	1												
V44-B	V45	50												
V44-B	V45-C	50												
V44-B	V45-D	50												
V44-B	V46	100												
V44-B	V47	150												
V44-B	V48	200												
V44-B	V49	300												
V44-C	V45	50												
V44-C	V45-C	50												
V44-C	V45-D	50												
V44-C	V46	100												
V44-C	V47	150												
V44-C	V48	200												
V44-C	V49	300												
V45	V45-C	1												
V45	V45-D	1												
V45	V46	50												
V45	V47	100												
V45	V48	150												
V45	V49	250												
V45-C	V45-D	1												
V45-C	V46	50												
V45-C	V47	100												
V45-C	V48	150												
V45-C	V49	250												
V45-D	V46	50												
V45-D	V47	100												
V45-D	V48	150												
V45-D	V49	250												
V46	V47	50												
V46	V48	100												
V46	V49	200												
V47	V48	50												
V47	V49	150												
V48	V49	100												
V53	V54	120												
V53	V55	430												
V53	V56	530												
V53	V57	650												
V54	V55	310												
V54	V56	410												
V54	V57	530												
V55	V56	100												
V55	V57	220												
V56	V57	120												
V60	V60-B	1												
V60	V60-D	1												
V60	V61	50												
V60	V61-B	50												
V60	V61-C	50												
V60	V62	100												
V60	V63	150												
V60	V64	270												
V60	V65	370												
V60-B	V60-D	1												
V60-B	V61	50												
V60-B	V61-B	50												
V60-B	V61-C	50												
V60-B	V62	100												
V60-B	V63	150												
V60-B	V64	270												
V60-B	V65	370												
V60-D	V61	50												
V60-D	V61-B	50												
V60-D	V61-C	50												
V60-D	V62	100												
V60-D	V63	150												
V60-D	V64	270												
V60-D	V65	370												
V61	V61-B	1												
V61	V61-C	1												
V61	V62	50												
V61	V63	100												
V61	V64	220												
V61	V65	320												
V61-B	V61-C	1												
V61-B	V62	50												
V61-B	V63	100												
V61-B	V64	220												
V61-B	V65	320												
V61-C	V62	50												
V61-C	V63	100												
V61-C	V64	220												
V61-C	V65	320												
V62	V63	50												
V62	V64	170												
V62	V65	270												
V63	V64	120												
V63	V65	220												
V64	V65	100												
V66	V67	130												
V66	V68	210												
V66	V69	340												
V67	V68	80												
V67	V69	210												
V68	V69	130												
V80	V81	50												
V80	V82	100												
V80	V83	200												
V80	V83-B	200												
V80	V83-C	200												
V80	V84	800												
V80	V84-B	800												
V80	V84-C	800												
V80	V85	920												
V80	V86	1420												
V80	V87	1560												
V81	V82	50												
V81	V83	150												
V81	V83-B	150												
V81	V83-C	150												
V81	V84	750												
V81	V84-B	750												
V81	V84-C	750												
V81	V85	870												
V81	V86	1370												
V81	V87	1510												
V82	V83	100												
V82	V83-B	100												
V82	V83-C	100												
V82	V84	700												
V82	V84-B	700												
V82	V84-C	700												
V82	V85	820												
