individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
Z47	Z51	450												
Z47	Z52	520												
Z47	Z53	615												
Z47	Z54	745												
Z47	Z55	895												
Z49	Z50	40												
Z49	Z51	140												
Z49	Z52	210												
Z49	Z53	305												
Z49	Z54	435												
Z49	Z55	585												
Z50	Z51	100												
Z50	Z52	170												
Z50	Z53	265												
Z50	Z54	395												
Z50	Z55	545												
Z51	Z52	70												
Z51	Z53	165												
Z51	Z54	295												
Z51	Z55	445												
Z52	Z53	95												
Z52	Z54	225												
Z52	Z55	375												
Z53	Z54	130												
Z53	Z55	280												
Z54	Z55	150												
Z1	Z3	4400												
Z1	Z4	19300												
Z1	Z5	19300												
Z1	Z6	19300												
Z1	Z7	19300												
Z1	Z8	19300												
Z1	Z9	19300												
Z1	Z10	19300												
Z1	Z10-B	19300												
Z1	Z10-D	19300												
Z1	Z11	19300												
Z1	Z11-C	19300												
Z1	Z11-D	19300												
Z1	Z14	19800												
Z1	Z16	19800												
Z1	Z17	19800												
Z1	Z18	18000												
Z1	Z19	18000												
Z1	Z20	18000												
Z1	Z21	18000												
Z1	Z22	18000												
Z1	Z23	18000												
Z1	Z24	18000												
Z1	Z24-C	18000												
Z1	Z24-E	18000												
Z1	Z26	18000												
Z1	Z26-B	18000												
Z1	Z26-D	18000												
Z1	Z27	36000												
Z1	Z28	36000												
Z1	Z31	36000												
Z1	Z33	36000												
Z1	Z37	36000												
Z1	Z38	36000												
Z1	Z39	36000												
Z1	Z41	34400												
Z1	Z42	34400												
Z1	Z42-C	34400												
Z1	Z42-D	34400												
Z1	Z43	34400												
Z1	Z43-C	34400												
Z1	Z43-D	34400												
Z1	Z47	90000												
Z1	Z49	90000												
Z1	Z50	90000												
Z1	Z51	90000												
Z1	Z52	90000												
Z1	Z53	90000												
Z1	Z54	90000												
Z1	Z55	90000												
Z1-B	Z3	4400												
Z1-B	Z4	19300												
Z1-B	Z5	19300												
Z1-B	Z6	19300												
Z1-B	Z7	19300												
Z1-B	Z8	19300												
Z1-B	Z9	19300												
Z1-B	Z10	19300												
Z1-B	Z10-B	19300												
Z1-B	Z10-D	19300												
Z1-B	Z11	19300												
Z1-B	Z11-C	19300												
Z1-B	Z11-D	19300												
Z1-B	Z14	19800												
Z1-B	Z16	19800												
Z1-B	Z17	19800												
Z1-B	Z18	18000												
Z1-B	Z19	18000												
Z1-B	Z20	18000												
Z1-B	Z21	18000												
Z1-B	Z22	18000												
Z1-B	Z23	18000												
Z1-B	Z24	18000												
Z1-B	Z24-C	18000												
Z1-B	Z24-E	18000												
Z1-B	Z26	18000												
Z1-B	Z26-B	18000												
Z1-B	Z26-D	18000												
Z1-B	Z27	36000												
Z1-B	Z28	36000												
Z1-B	Z31	36000												
Z1-B	Z33	36000												
Z1-B	Z37	36000												
Z1-B	Z38	36000												
Z1-B	Z39	36000												
Z1-B	Z41	34400												
Z1-B	Z42	34400												
Z1-B	Z42-C	34400												
Z1-B	Z42-D	34400												
Z1-B	Z43	34400												
Z1-B	Z43-C	34400												
Z1-B	Z43-D	34400												
Z1-B	Z47	90000												
Z1-B	Z49	90000												
Z1-B	Z50	90000												
Z1-B	Z51	90000												
Z1-B	Z52	90000												
Z1-B	Z53	90000												
Z1-B	Z54	90000												
Z1-B	Z55	90000												
Z1-C	Z3	4400												
Z1-C	Z4	19300												
Z1-C	Z5	19300												
Z1-C	Z6	19300												
Z1-C	Z7	19300												
Z1-C	Z8	19300												
Z1-C	Z9	19300												
Z1-C	Z10	19300												
Z1-C	Z10-B	19300												
