individual	locus1	locus2	locus3	locus4	locus5	locus6	locus7	locus8	locus9					
G3	G8	1500												
G3	G8-E	1500												
G3	G8-F	1500												
G3	G9-C	1500												
G3	G9-D	1500												
G3-D	G5	1500												
G3-D	G5-B	1500												
G3-D	G5-C	1500												
G3-D	G6-B	1500												
G3-D	G6-C	1500												
G3-D	G7-E	1500												
G3-D	G7-F	1500												
G3-D	G8	1500												
G3-D	G8-E	1500												
G3-D	G8-F	1500												
G3-D	G9-C	1500												
G3-D	G9-D	1500												
G3-E	G5	1500												
G3-E	G5-B	1500												
G3-E	G5-C	1500												
G3-E	G6-B	1500												
G3-E	G6-C	1500												
G3-E	G7-E	1500												
G3-E	G7-F	1500												
G3-E	G8	1500												
G3-E	G8-E	1500												
G3-E	G8-F	1500												
G3-E	G9-C	1500												
G3-E	G9-D	1500												
G4	G5	1500												
G4	G5-B	1500												
G4	G5-C	1500												
G4	G6-B	1500												
G4	G6-C	1500												
G4	G7-E	1500												
G4	G7-F	1500												
G4	G8	1500												
G4	G8-E	1500												
G4	G8-F	1500												
G4	G9-C	1500												
G4	G9-D	1500												
G4-B	G5	1500												
G4-B	G5-B	1500												
G4-B	G5-C	1500												
G4-B	G6-B	1500												
G4-B	G6-C	1500												
G4-B	G7-E	1500												
G4-B	G7-F	1500												
G4-B	G8	1500												
G4-B	G8-E	1500												
G4-B	G8-F	1500												
G4-B	G9-C	1500												
G4-B	G9-D	1500												
G4-C	G5	1500												
G4-C	G5-B	1500												
G4-C	G5-C	1500												
G4-C	G6-B	1500												
G4-C	G6-C	1500												
G4-C	G7-E	1500												
G4-C	G7-F	1500												
G4-C	G8	1500												
G4-C	G8-E	1500												
G4-C	G8-F	1500												
G4-C	G9-C	1500												
G4-C	G9-D	1500																									
