Categoría: Todas las categorías

Semana,PyMOL: (Todo el mundo),Jmol: (Todo el mundo),UCSF Chimera: (Todo el mundo)
2022-12-25,44,5,7
2023-01-01,44,5,5
2023-01-08,70,5,5
2023-01-15,75,6,5
2023-01-22,75,9,7
2023-01-29,66,7,9
2023-02-05,71,11,7
2023-02-12,75,9,1
2023-02-19,76,10,7
2023-02-26,78,14,2
2023-03-05,81,10,9
2023-03-12,75,7,5
2023-03-19,78,13,10
2023-03-26,86,7,13
2023-04-02,87,8,5
2023-04-09,80,10,6
2023-04-16,87,9,6
2023-04-23,84,8,5
2023-04-30,84,9,8
2023-05-07,100,12,0
